cluster:0,len:12
                   name  cluster
6         Anthony Davis        0
8         Avery Bradley        0
12          Brook Lopez        0
27         Derrick Rose        0
48      Harrison Barnes        0
53        Jabari Parker        0
70   Karl-Anthony Towns        0
86            Luol Deng        0
92          Matt Barnes        0
122          Taj Gibson        0
129      Victor Oladipo        0
131         Will Barton        0
cluster:1,len:104
                  name  cluster
0         Aaron Gordon        1
1           Al Horford        1
2      Al-Farouq Aminu        1
3       Andre Drummond        1
4       Andre Iguodala        1
5       Andrew Wiggins        1
7        Arron Afflalo        1
9        Blake Griffin        1
10     Bojan Bogdanovi        1
11      Brandon Knight        1
13       C.J. McCollum        1
14     Carmelo Anthony        1
15          Chris Paul        1
17    D'Angelo Russell        1
18      Damian Lillard        1
19    Danilo Gallinari        1
20     Darren Collison        1
21      DeAndre Jordan        1
23    DeMarcus Cousins        1
24     Dennis Schroder        1
25      Deron Williams        1
26      Derrick Favors        1
28        Devin Booker        1
29        Dion Waiters        1
30       Dirk Nowitzki        1
32       Dwight Howard        1
33         Dwyane Wade        1
34            Ed Davis        1
35       Elfrid Payton        1
36     Emmanuel Mudiay        1
..                 ...      ...
94         Monta Ellis        1
95        Myles Turner        1
96        Nerlens Noel        1
97       Nicolas Batum        1
98         Nikola Joki        1
99       Nikola Miroti        1
101        Omri Casspi        1
103        P.J. Tucker        1
105          Pau Gasol        1
106        Paul George        1
107       Paul Millsap        1
108        Rajon Rondo        1
109     Reggie Jackson        1
110        Ricky Rubio        1
112        Robin Lopez        1
114           Rudy Gay        1
115        Rudy Gobert        1
116  Russell Westbrook        1
117      Ryan Anderson        1
118        Serge Ibaka        1
119      Stephen Curry        1
120       Steven Adams        1
121        T.J. Warren        1
123     Thaddeus Young        1
124      Tobias Harris        1
125        Tony Parker        1
127      Trevor Booker        1
128   Tristan Thompson        1
130    Wesley Matthews        1
132        Zach LaVine        1

[104 rows x 2 columns]
cluster:2,len:16
                 name  cluster
16       Clint Capela        2
22      DeMar DeRozan        2
31     Draymond Green        2
39        Eric Gordon        2
40      Evan Fournier        2
45     Gordon Hayward        2
57       James Harden        2
78    Khris Middleton        2
79      Klay Thompson        2
100     Nikola Vucevi        2
102       Otto Porter        2
104  Patrick Beverley        2
111  Robert Covington        2
113       Rodney Hood        2
126      Trevor Ariza        2
133     Zach Randolph        2
cluster:3,len:1
          name  cluster
77  Kevin Love        3
cluster:4,len:1
             name  cluster
68  Julius Randle        4
