cluster:0,len:17
                   name  cluster
2            Al Horford        0
14       Andrew Wiggins        0
33        C.J. McCollum        0
57     DeMarcus Cousins        0
92          Goran Dragi        0
97     Hassan Whiteside        0
109      Jamal Crawford        0
111        James Harden        0
150        Kevin Durant        0
156  Kristaps Porzingis        0
162   LaMarcus Aldridge        0
168        LeBron James        0
201       Nicolas Batum        0
219         Rajon Rondo        0
224      Reggie Jackson        0
228         Rodney Hood        0
234   Russell Westbrook        0
cluster:1,len:35
                        name  cluster
1               Aaron Gordon        1
11            Andre Iguodala        1
15             Anthony Davis        1
28            Brandon Ingram        1
38                Chris Bosh        1
53                 David Lee        1
56             DeMar DeRozan        1
62              Derrick Rose        1
83               Evan Turner        1
89              Gerald Green        1
96           Harrison Barnes        1
105               J.R. Smith        1
106            Jabari Parker        1
123             Jimmy Butler        1
130                Jon Leuer        1
153            Klay Thompson        1
169             Lou Williams        1
175               Marc Gasol        1
180          Marcus Thornton        1
184            Mason Plumlee        1
185              Matt Barnes        1
190  Michael Carter-Williams        1
192              Mike Conley        1
199             Nerlens Noel        1
207              Norris Cole        1
208                O.J. Mayo        1
211              Otto Porter        1
220           Ramon Sessions        1
225              Ricky Rubio        1
238               Seth Curry        1
248              T.J. Warren        1
249               Taj Gibson        1
252          Thabo Sefolosha        1
274           Wesley Johnson        1
278          Wilson Chandler        1
cluster:2,len:5
                name  cluster
35   Carmelo Anthony        2
39        Chris Paul        2
144    Kawhi Leonard        2
217     Paul Millsap        2
245    Stephen Curry        2
cluster:3,len:81
                      name  cluster
4          Al-Farouq Aminu        3
5               Alec Burks        3
10          Andre Drummond        3
19           Avery Bradley        3
22           Blake Griffin        3
24         Bojan Bogdanovi        3
30          Brandon Knight        3
36        Chandler Parsons        3
40            Clint Capela        3
46        D'Angelo Russell        3
48          Damian Lillard        3
49        Danilo Gallinari        3
55          DeAndre Jordan        3
58         DeMarre Carroll        3
59         Dennis Schroder        3
60          Deron Williams        3
61          Derrick Favors        3
64            Devin Booker        3
66            Dion Waiters        3
67           Dirk Nowitzki        3
70          Draymond Green        3
73             Dwyane Wade        3
76           Elfrid Payton        3
77         Emmanuel Mudiay        3
78             Enes Kanter        3
79            Eric Bledsoe        3
80             Eric Gordon        3
85          Frank Kaminsky        3
88             George Hill        3
91   Giannis Antetokounmpo        3
..                     ...      ...
161           Kyrie Irving        3
173              Luol Deng        3
176          Marcin Gortat        3
177        Marco Belinelli        3
178          Marcus Morris        3
181        Markieff Morris        3
204          Nikola Miroti        3
205          Nikola Vucevi        3
210            Omri Casspi        3
213       Patrick Beverley        3
215              Pau Gasol        3
216            Paul George        3
226       Robert Covington        3
232               Rudy Gay        3
235          Ryan Anderson        3
236        Sean Kilpatrick        3
237            Serge Ibaka        3
242           Shelvin Mack        3
253         Thaddeus Young        3
255            Tim Frazier        3
258          Tobias Harris        3
260            Tony Parker        3
262           Trevor Ariza        3
263          Trevor Booker        3
266       Tristan Thompson        3
269           Tyreke Evans        3
271         Victor Oladipo        3
276            Will Barton        3
279            Zach LaVine        3
280          Zach Randolph        3

[81 rows x 2 columns]
cluster:4,len:144
                        name  cluster
0               Aaron Brooks        4
3               Al Jefferson        4
6                   Alex Len        4
7               Allen Crabbe        4
8                 Alonzo Gee        4
9               Amir Johnson        4
12            Andre Roberson        4
13              Andrew Bogut        4
16            Anthony Morrow        4
17             Arron Afflalo        4
18             Austin Rivers        4
20              Ben McLemore        4
21           Bismack Biyombo        4
23              Bobby Portis        4
25                Boris Diaw        4
26              Bradley Beal        4
27              Brandon Bass        4
29          Brandon Jennings        4
31              Brandon Rush        4
32               Brook Lopez        4
34                C.J. Miles        4
37             Channing Frye        4
41               Cody Zeller        4
42              Cole Aldrich        4
43              Corey Brewer        4
44               Cory Joseph        4
45              Courtney Lee        4
47             D.J. Augustin        4
50          Dante Cunningham        4
51            Darrell Arthur        4
..                       ...      ...
223           Raymond Felton        4
227              Robin Lopez        4
229           Rodney Stuckey        4
230  Rondae Hollis-Jefferson        4
231              Roy Hibbert        4
233              Rudy Gobert        4
239         Shabazz Muhammad        4
240             Shane Larkin        4
241         Shaun Livingston        4
243             Solomon Hill        4
244          Stanley Johnson        4
246             Steven Adams        4
247           T.J. McConnell        4
250           Terrence Jones        4
251            Terrence Ross        4
254               Tim Duncan        4
256          Tim Hardaway Jr        4
257           Timofey Mozgov        4
259               Tony Allen        4
261               Tony Snell        4
264               Trey Burke        4
265               Trey Lyles        4
267                Ty Lawson        4
268            Tyler Johnson        4
270           Tyson Chandler        4
272             Vince Carter        4
273          Wayne Ellington        4
275          Wesley Matthews        4
277      Willie Cauley-Stein        4
281            Zaza Pachulia        4

[144 rows x 2 columns]
