cluster:0,len:59
                      name  cluster
2               Al Horford        0
5               Alec Burks        0
10          Andre Drummond        0
14          Andrew Wiggins        0
19           Avery Bradley        0
22           Blake Griffin        0
26            Bradley Beal        0
29          Brandon Knight        0
32           C.J. McCollum        0
48        Danilo Gallinari        0
54          DeAndre Jordan        0
56        DeMarcus Cousins        0
58         Dennis Schroder        0
65            Dion Waiters        0
69          Draymond Green        0
72             Dwyane Wade        0
77             Enes Kanter        0
78            Eric Bledsoe        0
90   Giannis Antetokounmpo        0
102          Isaiah Thomas        0
106            Jae Crowder        0
109           James Harden        0
115            Jeff Teague        0
117            Jeremy Lamb        0
127              John Wall        0
136           Jrue Holiday        0
141     Karl-Anthony Towns        0
144           Kemba Walker        0
145         Kenneth Faried        0
149             Kevin Love        0
150        Khris Middleton        0
157             Kyle Lowry        0
159           Kyrie Irving        0
174          Marcin Gortat        0
175        Marco Belinelli        0
176          Marcus Morris        0
179        Markieff Morris        0
193            Monta Ellis        0
199          Nicolas Batum        0
202          Nikola Miroti        0
203          Nikola Vucevi        0
209            Otto Porter        0
211       Patrick Beverley        0
213              Pau Gasol        0
214            Paul George        0
217            Rajon Rondo        0
222         Reggie Jackson        0
226            Rodney Hood        0
230               Rudy Gay        0
232      Russell Westbrook        0
233          Ryan Anderson        0
235            Serge Ibaka        0
253            Tim Frazier        0
256          Tobias Harris        0
260           Trevor Ariza        0
267           Tyreke Evans        0
269         Victor Oladipo        0
274            Will Barton        0
277            Zach LaVine        0
cluster:1,len:8
                   name  cluster
34      Carmelo Anthony        1
38           Chris Paul        1
142       Kawhi Leonard        1
154  Kristaps Porzingis        1
160   LaMarcus Aldridge        1
166        LeBron James        1
215        Paul Millsap        1
243       Stephen Curry        1
cluster:2,len:123
                        name  cluster
0               Aaron Brooks        2
3               Al Jefferson        2
6                   Alex Len        2
7               Allen Crabbe        2
8                 Alonzo Gee        2
9               Amir Johnson        2
12            Andre Roberson        2
13              Andrew Bogut        2
16            Anthony Morrow        2
18             Austin Rivers        2
20              Ben McLemore        2
21           Bismack Biyombo        2
25                Boris Diaw        2
27              Brandon Bass        2
28          Brandon Jennings        2
30              Brandon Rush        2
31               Brook Lopez        2
36             Channing Frye        2
37                Chris Bosh        2
41              Cole Aldrich        2
42              Corey Brewer        2
43               Cory Joseph        2
46             D.J. Augustin        2
49          Dante Cunningham        2
50            Darrell Arthur        2
51           Darren Collison        2
53                David West        2
59            Deron Williams        2
60            Derrick Favors        2
62          Derrick Williams        2
..                       ...      ...
219               Randy Foye        2
220                Raul Neto        2
221           Raymond Felton        2
225              Robin Lopez        2
227           Rodney Stuckey        2
228  Rondae Hollis-Jefferson        2
229              Roy Hibbert        2
231              Rudy Gobert        2
237         Shabazz Muhammad        2
238             Shane Larkin        2
239         Shaun Livingston        2
241             Solomon Hill        2
242          Stanley Johnson        2
244             Steven Adams        2
245           T.J. McConnell        2
248           Terrence Jones        2
249            Terrence Ross        2
252               Tim Duncan        2
254          Tim Hardaway Jr        2
255           Timofey Mozgov        2
257               Tony Allen        2
259               Tony Snell        2
262               Trey Burke        2
263               Trey Lyles        2
265                Ty Lawson        2
268           Tyson Chandler        2
270             Vince Carter        2
271          Wayne Ellington        2
275      Willie Cauley-Stein        2
279            Zaza Pachulia        2

[123 rows x 2 columns]
cluster:3,len:30
                        name  cluster
15             Anthony Davis        3
17             Arron Afflalo        3
33                C.J. Miles        3
35          Chandler Parsons        3
47            Damian Lillard        3
52                 David Lee        3
55             DeMar DeRozan        3
61              Derrick Rose        3
88              Gerald Green        3
91               Goran Dragi        3
95           Harrison Barnes        3
96          Hassan Whiteside        3
104               J.R. Smith        3
121             Jimmy Butler        3
148             Kevin Durant        3
151            Klay Thompson        3
167             Lou Williams        3
183              Matt Barnes        3
188  Michael Carter-Williams        3
190              Mike Conley        3
197             Nerlens Noel        3
205              Norris Cole        3
206                O.J. Mayo        3
218           Ramon Sessions        3
223              Ricky Rubio        3
236               Seth Curry        3
250          Thabo Sefolosha        3
251           Thaddeus Young        3
272           Wesley Johnson        3
276          Wilson Chandler        3
cluster:4,len:60
                         name  cluster
