cluster:0,len:7
                 name  cluster
44   D'Angelo Russell        0
53     DeAndre Jordan        0
148        Kevin Love        0
165      LeBron James        0
229          Rudy Gay        0
242     Stephen Curry        0
276       Zach LaVine        0
cluster:1,len:38
                        name  cluster
31             C.J. McCollum        1
32                C.J. Miles        1
36                Chris Bosh        1
38              Clint Capela        1
39               Cody Zeller        1
51                 David Lee        1
54             DeMar DeRozan        1
60              Derrick Rose        1
81               Evan Turner        1
87              Gerald Green        1
94           Harrison Barnes        1
95          Hassan Whiteside        1
103               J.R. Smith        1
104            Jabari Parker        1
106            Jahlil Okafor        1
120             Jimmy Butler        1
127                Jon Leuer        1
147             Kevin Durant        1
150            Klay Thompson        1
166             Lou Williams        1
177          Marcus Thornton        1
182              Matt Barnes        1
187  Michael Carter-Williams        1
188   Michael Kidd-Gilchrist        1
189              Mike Conley        1
196             Nerlens Noel        1
204              Norris Cole        1
205                O.J. Mayo        1
208              Otto Porter        1
217           Ramon Sessions        1
222              Ricky Rubio        1
235               Seth Curry        1
246               Taj Gibson        1
249          Thabo Sefolosha        1
267           Tyson Chandler        1
271           Wesley Johnson        1
273              Will Barton        1
275          Wilson Chandler        1
cluster:2,len:83
                  name  cluster
2           Al Horford        2
4      Al-Farouq Aminu        2
5           Alec Burks        2
10      Andre Drummond        2
14      Andrew Wiggins        2
15       Anthony Davis        2
18       Avery Bradley        2
23     Bojan Bogdanovi        2
25        Bradley Beal        2
28      Brandon Knight        2
30         Brook Lopez        2
34    Chandler Parsons        2
46      Damian Lillard        2
47    Danilo Gallinari        2
55    DeMarcus Cousins        2
57     Dennis Schroder        2
58      Deron Williams        2
62        Devin Booker        2
65       Dirk Nowitzki        2
68      Draymond Green        2
71         Dwyane Wade        2
73            Ed Davis        2
74       Elfrid Payton        2
75     Emmanuel Mudiay        2
76         Enes Kanter        2
77        Eric Bledsoe        2
78         Eric Gordon        2
86         George Hill        2
91      Gordon Hayward        2
92        Gorgui Dieng        2
..                 ...      ...
173      Marcin Gortat        2
174    Marco Belinelli        2
175      Marcus Morris        2
178    Markieff Morris        2
198      Nicolas Batum        2
201      Nikola Miroti        2
207        Omri Casspi        2
210   Patrick Beverley        2
212          Pau Gasol        2
213        Paul George        2
216        Rajon Rondo        2
221     Reggie Jackson        2
223   Robert Covington        2
225        Rodney Hood        2
231  Russell Westbrook        2
232      Ryan Anderson        2
234        Serge Ibaka        2
239       Shelvin Mack        2
245        T.J. Warren        2
250     Thaddeus Young        2
252        Tim Frazier        2
255      Tobias Harris        2
257        Tony Parker        2
259       Trevor Ariza        2
260      Trevor Booker        2
263   Tristan Thompson        2
266       Tyreke Evans        2
268     Victor Oladipo        2
272    Wesley Matthews        2
277      Zach Randolph        2

[83 rows x 2 columns]
cluster:3,len:146
                        name  cluster
0               Aaron Brooks        3
1               Aaron Gordon        3
3               Al Jefferson        3
6                   Alex Len        3
7               Allen Crabbe        3
8                 Alonzo Gee        3
9               Amir Johnson        3
11            Andre Iguodala        3
12            Andre Roberson        3
13              Andrew Bogut        3
16            Anthony Morrow        3
17             Austin Rivers        3
19              Ben McLemore        3
20           Bismack Biyombo        3
21             Blake Griffin        3
22              Bobby Portis        3
24                Boris Diaw        3
26              Brandon Bass        3
27          Brandon Jennings        3
29              Brandon Rush        3
35             Channing Frye        3
40              Cole Aldrich        3
41              Corey Brewer        3
42               Cory Joseph        3
43              Courtney Lee        3
45             D.J. Augustin        3
48          Dante Cunningham        3
49            Darrell Arthur        3
50           Darren Collison        3
52                David West        3
..                       ...      ...
219                Raul Neto        3
220           Raymond Felton        3
224              Robin Lopez        3
226           Rodney Stuckey        3
227  Rondae Hollis-Jefferson        3
228              Roy Hibbert        3
230              Rudy Gobert        3
233          Sean Kilpatrick        3
236         Shabazz Muhammad        3
237             Shane Larkin        3
238         Shaun Livingston        3
240             Solomon Hill        3
241          Stanley Johnson        3
243             Steven Adams        3
244           T.J. McConnell        3
247           Terrence Jones        3
248            Terrence Ross        3
251               Tim Duncan        3
253          Tim Hardaway Jr        3
254           Timofey Mozgov        3
256               Tony Allen        3
258               Tony Snell        3
261               Trey Burke        3
262               Trey Lyles        3
264                Ty Lawson        3
265            Tyler Johnson        3
269             Vince Carter        3
270          Wayne Ellington        3
274      Willie Cauley-Stein        3
278            Zaza Pachulia        3

[146 rows x 2 columns]
cluster:4,len:5
                  name  cluster
33     Carmelo Anthony        4
37          Chris Paul        4
90         Goran Dragi        4
159  LaMarcus Aldridge        4
214       Paul Millsap        4
