cluster:0,len:52
                                              name  cluster
1               Aaron Gordon.RandomForestRegressor        0
2                 Al Horford.RandomForestRegressor        0
6                   Alex Len.RandomForestRegressor        0
11            Andre Iguodala.RandomForestRegressor        0
15             Anthony Davis.RandomForestRegressor        0
24                Boris Diaw.RandomForestRegressor        0
30               Brook Lopez.RandomForestRegressor        0
31             C.J. McCollum.RandomForestRegressor        0
36                Chris Bosh.RandomForestRegressor        0
46            Damian Lillard.RandomForestRegressor        0
56           DeMarre Carroll.RandomForestRegressor        0
62              Devin Booker.RandomForestRegressor        0
68            Draymond Green.RandomForestRegressor        0
74             Elfrid Payton.RandomForestRegressor        0
77              Eric Bledsoe.RandomForestRegressor        0
80             Evan Fournier.RandomForestRegressor        0
81               Evan Turner.RandomForestRegressor        0
88          Gerald Henderson.RandomForestRegressor        0
89     Giannis Antetokounmpo.RandomForestRegressor        0
90              Goran Dragic.RandomForestRegressor        0
92              Gorgui Dieng.RandomForestRegressor        0
93               Greg Monroe.RandomForestRegressor        0
97                 Ian Clark.RandomForestRegressor        0
124        Joffrey Lauvergne.RandomForestRegressor        0
126                John Wall.RandomForestRegressor        0
128        Jonas Valanciunas.RandomForestRegressor        0
136            Julius Randle.RandomForestRegressor        0
137          Justin Anderson.RandomForestRegressor        0
143             Kemba Walker.RandomForestRegressor        0
144           Kenneth Faried.RandomForestRegressor        0
156               Kyle Lowry.RandomForestRegressor        0
158             Kyrie Irving.RandomForestRegressor        0
163              Lavoy Allen.RandomForestRegressor        0
170                Luol Deng.RandomForestRegressor        0
174          Marco Belinelli.RandomForestRegressor        0
175            Marcus Morris.RandomForestRegressor        0
180          Marvin Williams.RandomForestRegressor        0
183      Matthew Dellavedova.RandomForestRegressor        0
187  Michael Carter-Williams.RandomForestRegressor        0
195             Nene Hilario.RandomForestRegressor        0
196             Nerlens Noel.RandomForestRegressor        0
213              Paul George.RandomForestRegressor        0
216              Rajon Rondo.RandomForestRegressor        0
221           Reggie Jackson.RandomForestRegressor        0
226           Rodney Stuckey.RandomForestRegressor        0
228              Roy Hibbert.RandomForestRegressor        0
245              T.J. Warren.RandomForestRegressor        0
246               Taj Gibson.RandomForestRegressor        0
247           Terrence Jones.RandomForestRegressor        0
248            Terrence Ross.RandomForestRegressor        0
250           Thaddeus Young.RandomForestRegressor        0
274      Willie Cauley-Stein.RandomForestRegressor        0
cluster:1,len:28
                                        name  cluster
5           Alec Burks.RandomForestRegressor        1
10      Andre Drummond.RandomForestRegressor        1
33     Carmelo Anthony.RandomForestRegressor        1
71         Dwyane Wade.RandomForestRegressor        1
95    Hassan Whiteside.RandomForestRegressor        1
