cluster:0,len:171
                       name  cluster
0        Aaron Brooks.Ridge        0
3        Al Jefferson.Ridge        0
5          Alec Burks.Ridge        0
6            Alex Len.Ridge        0
7        Allen Crabbe.Ridge        0
8          Alonzo Gee.Ridge        0
9        Amir Johnson.Ridge        0
10     Andre Drummond.Ridge        0
12     Andre Roberson.Ridge        0
13       Andrew Bogut.Ridge        0
16     Anthony Morrow.Ridge        0
17      Austin Rivers.Ridge        0
19       Ben McLemore.Ridge        0
20    Bismack Biyombo.Ridge        0
21      Blake Griffin.Ridge        0
22       Bobby Portis.Ridge        0
24         Boris Diaw.Ridge        0
26       Brandon Bass.Ridge        0
27   Brandon Jennings.Ridge        0
29       Brandon Rush.Ridge        0
30        Brook Lopez.Ridge        0
32         C.J. Miles.Ridge        0
34   Chandler Parsons.Ridge        0
35      Channing Frye.Ridge        0
36         Chris Bosh.Ridge        0
39        Cody Zeller.Ridge        0
40       Cole Aldrich.Ridge        0
41       Corey Brewer.Ridge        0
42        Cory Joseph.Ridge        0
43       Courtney Lee.Ridge        0
..                      ...      ...
229          Rudy Gay.Ridge        0
230       Rudy Gobert.Ridge        0
233   Sean Kilpatrick.Ridge        0
236  Shabazz Muhammad.Ridge        0
237      Shane Larkin.Ridge        0
238  Shaun Livingston.Ridge        0
240      Solomon Hill.Ridge        0
241   Stanley Johnson.Ridge        0
243      Steven Adams.Ridge        0
244    T.J. McConnell.Ridge        0
247    Terrence Jones.Ridge        0
248     Terrence Ross.Ridge        0
249   Thabo Sefolosha.Ridge        0
251        Tim Duncan.Ridge        0
252       Tim Frazier.Ridge        0
253  Tim Hardaway Jr..Ridge        0
254    Timofey Mozgov.Ridge        0
256        Tony Allen.Ridge        0
257       Tony Parker.Ridge        0
258        Tony Snell.Ridge        0
260     Trevor Booker.Ridge        0
261        Trey Burke.Ridge        0
262        Trey Lyles.Ridge        0
263  Tristan Thompson.Ridge        0
264         Ty Lawson.Ridge        0
265     Tyler Johnson.Ridge        0
267    Tyson Chandler.Ridge        0
270   Wayne Ellington.Ridge        0
271    Wesley Johnson.Ridge        0
278     Zaza Pachulia.Ridge        0

[171 rows x 2 columns]
cluster:1,len:68
                               name  cluster
1                Aaron Gordon.Ridge        1
4             Al-Farouq Aminu.Ridge        1
11             Andre Iguodala.Ridge        1
15              Anthony Davis.Ridge        1
25               Bradley Beal.Ridge        1
31              C.J. McCollum.Ridge        1
38               Clint Capela.Ridge        1
46             Damian Lillard.Ridge        1
47           Danilo Gallinari.Ridge        1
51                  David Lee.Ridge        1
54              DeMar DeRozan.Ridge        1
55           DeMarcus Cousins.Ridge        1
60               Derrick Rose.Ridge        1
74              Elfrid Payton.Ridge        1
75            Emmanuel Mudiay.Ridge        1
76                Enes Kanter.Ridge        1
77               Eric Bledsoe.Ridge        1
87               Gerald Green.Ridge        1
90               Goran Dragic.Ridge        1
94            Harrison Barnes.Ridge        1
95           Hassan Whiteside.Ridge        1
102               J.J. Redick.Ridge        1
103                J.R. Smith.Ridge        1
104             Jabari Parker.Ridge        1
106             Jahlil Okafor.Ridge        1
120              Jimmy Butler.Ridge        1
127                 Jon Leuer.Ridge        1
130           Jordan Clarkson.Ridge        1
136             Julius Randle.Ridge        1
146  Kentavious Caldwell-Pope.Ridge        1
..                              ...      ...
182               Matt Barnes.Ridge        1
187   Michael Carter-Williams.Ridge        1
188    Michael Kidd-Gilchrist.Ridge        1
189               Mike Conley.Ridge        1
196              Nerlens Noel.Ridge        1
198             Nicolas Batum.Ridge        1
201            Nikola Mirotic.Ridge        1
207               Omri Casspi.Ridge        1
208               Otto Porter.Ridge        1
210          Patrick Beverley.Ridge        1
213               Paul George.Ridge        1
214              Paul Millsap.Ridge        1
216               Rajon Rondo.Ridge        1
222               Ricky Rubio.Ridge        1
223          Robert Covington.Ridge        1
231         Russell Westbrook.Ridge        1
234               Serge Ibaka.Ridge        1
235                Seth Curry.Ridge        1
239              Shelvin Mack.Ridge        1
245               T.J. Warren.Ridge        1
246                Taj Gibson.Ridge        1
255             Tobias Harris.Ridge        1
259              Trevor Ariza.Ridge        1
268            Victor Oladipo.Ridge        1
272           Wesley Matthews.Ridge        1
273               Will Barton.Ridge        1
274       Willie Cauley-Stein.Ridge        1
275           Wilson Chandler.Ridge        1
276               Zach LaVine.Ridge        1
277             Zach Randolph.Ridge        1

[68 rows x 2 columns]
cluster:2,len:6
                      name  cluster
84    Garrett Temple.Ridge        2
134       Josh Smith.Ridge        2
137  Justin Anderson.Ridge        2
204      Norris Cole.Ridge        2
206        Omer Asik.Ridge        2
269     Vince Carter.Ridge        2
cluster:3,len:5
                         name  cluster
18        Avery Bradley.Ridge        3
33      Carmelo Anthony.Ridge        3
37           Chris Paul.Ridge        3
153  Kristaps Porzingis.Ridge        3
232       Ryan Anderson.Ridge        3
cluster:4,len:29
                            name  cluster
2               Al Horford.Ridge        4
14          Andrew Wiggins.Ridge        4
23        Bojan Bogdanovic.Ridge        4
28          Brandon Knight.Ridge        4
57         Dennis Schroder.Ridge        4
65           Dirk Nowitzki.Ridge        4
68          Draymond Green.Ridge        4
89   Giannis Antetokounmpo.Ridge        4
91          Gordon Hayward.Ridge        4
92            Gorgui Dieng.Ridge        4
101          Isaiah Thomas.Ridge        4
105            Jae Crowder.Ridge        4
108           James Harden.Ridge        4
112        Jared Sullinger.Ridge        4
114            Jeff Teague.Ridge        4
126              John Wall.Ridge        4
135           Jrue Holiday.Ridge        4
141          Kawhi Leonard.Ridge        4
143           Kemba Walker.Ridge        4
145          Kent Bazemore.Ridge        4
148             Kevin Love.Ridge        4
159      LaMarcus Aldridge.Ridge        4
165           LeBron James.Ridge        4
175          Marcus Morris.Ridge        4
202         Nikola Vucevic.Ridge        4
225            Rodney Hood.Ridge        4
242          Stephen Curry.Ridge        4
250         Thaddeus Young.Ridge        4
266           Tyreke Evans.Ridge        4
